dataset,category,id,home,uid,shorthand,status,screw,diameter,length,quantity,product_code,set,proper_name,screw_sizes,size_range,left_right,size,location,name,presentation,description,ref,code,lat,lng,region
sets,1.5-2.0,01,OFFICE,1.501,1.5,,,,,,,,,,,,,,,,,,,,,
sets,1.5-2.0,02,OFFICE,1.502,1.5,,,,,,,,,,,,,,,,,,,,,
sets,1.5-2.0,03,PG,1.503,1.5,,,,,,,,,,,,,,,,,,,,,
sets,1.5-2.0,04,OFFICE,1.504,1.5,,,,,,,,,,,,,,,,,,,,,
sets,1.5-2.0,05,OFFICE,1.505,1.5,,,,,,,,,,,,,,,,,,,,,
sets,1.5-2.0,06,CAC,1.506,1.5,,,,,,,,,,,,,,,,,,,,,
sets,1.5-2.0,07,IPOH,1.507,1.5,,,,,,,,,,,,,,,,,,,,,
sets,1.5-2.0,08,PG,1.508,1.5,,,,,,,,,,,,,,,,,,,,,
sets,2.0-2.4,01,OFFICE,2.001,2.0,,,,,,,,,,,,,,,,,,,,,
sets,2.0-2.4,02,OFFICE,2.002,2.0,,,,,,,,,,,,,,,,,,,,,
sets,2.0-2.4,03,PG,2.003,2.0,,,,,,,,,,,,,,,,,,,,,
sets,2.0-2.4,04,OFFICE,2.004,2.0,,,,,,,,,,,,,,,,,,,,,
sets,2.0-2.4,05,CAC,2.005,2.0,,,,,,,,,,,,,,,,,,,,,
sets,2.0 ONLY,01,OFFICE,2.0ONLY01,2.0ONLY,,,,,,,,,,,,,,,,,,,,,
sets,2.4-2.7,01,PG,2.401,2.4,,,,,,,,,,,,,,,,,,,,,
sets,2.4-2.7,02,HTPG,2.402,2.4,,,,,,,,,,,,,,,,,,,,,
sets,2.4-2.7,03,OFFICE,2.403,2.4,,,,,,,,,,,,,,,,,,,,,
sets,2.4-2.7,04,HSB,2.404,2.4,,,,,,,,,,,,,,,,,,,,,
sets,2.4-2.7,05,OFFICE,2.405,2.4,,,,,,,,,,,,,,,,,,,,,
sets,2.4-2.7,06,PG,2.406,2.4,,,,,,,,,,,,,,,,,,,,,
sets,2.4-2.7,07,PG,2.407,2.4,,,,,,,,,,,,,,,,,,,,,
sets,2.4-2.7,08,IPOH,2.408,2.4,,,,,,,,,,,,,,,,,,,,,
sets,2.4-2.7,09,PG,2.409,2.4,,,,,,,,,,,,,,,,,,,,,
sets,2.4-2.7,10,OFFICE,2.410,2.4,NA,,,,,,,,,,,,,,,,,,,,
sets,2.4-2.7,11,PG,2.411,2.4,,,,,,,,,,,,,,,,,,,,,
sets,2.4-2.7,12,OFFICE,2.412,2.4,,,,,,,,,,,,,,,,,,,,,
